customer_id,gender,age,city,signup_date,loyalty_member
C0001,Male,19,Liverpool,17/10/2023,Yes
C0002,Male,65,Manchester,17/08/2022,Yes
C0003,Female,20,London,28/08/2023,Yes
C0004,Male,50,London,12/08/2022,Yes
C0005,Female,32,Nottingham,28/10/2023,No
C0006,Male,62,Sheffield,07/01/2022,No
C0007,Male,31,Bristol,12/10/2022,Yes
C0008,Female,24,Bristol,05/04/2022,No
C0009,Female,20,Nottingham,11/09/2023,Yes
C0010,Male,53,Liverpool,23/01/2023,No
C0011,Male,63,Manchester,15/08/2023,Yes
C0012,Male,36,Manchester,09/11/2023,Yes
C0013,Female,35,Nottingham,14/04/2022,No
C0014,Female,40,Leeds,16/06/2022,No
C0015,Male,56,Birmingham,01/12/2023,Yes
C0016,Female,42,Liverpool,17/06/2022,Yes
C0017,Male,32,London,29/11/2022,No
C0018,Female,22,Leeds,15/02/2023,No
C0019,Female,43,Nottingham,06/08/2022,Yes
C0020,Male,33,Liverpool,29/09/2022,No
C0021,Female,41,Leeds,21/08/2023,Yes
C0022,Female,23,London,06/06/2023,Yes
C0023,Male,61,Sheffield,06/06/2022,Yes
C0024,Female,56,Nottingham,30/01/2023,No
C0025,Male,61,Manchester,21/07/2023,No
C0026,Female,25,Liverpool,19/10/2023,No
C0027,Female,18,Liverpool,11/06/2022,Yes
C0028,Male,58,Liverpool,04/06/2023,Yes
C0029,Female,28,London,06/06/2022,No
C0030,Male,25,Bristol,16/05/2023,No
C0031,Male,33,Manchester,03/09/2022,Yes
C0032,Male,52,Birmingham,13/05/2023,Yes
C0033,Female,53,Birmingham,07/11/2023,No
C0034,Female,31,Leeds,25/06/2023,No
C0035,Female,46,Nottingham,13/02/2023,Yes
C0036,Male,22,Bristol,11/09/2022,Yes
C0037,Male,55,Leeds,26/08/2023,Yes
C0038,Male,32,Manchester,14/03/2022,Yes
C0039,Male,50,Leeds,05/12/2022,No
C0040,Female,31,Birmingham,17/11/2023,No
C0041,Female,44,Leeds,06/09/2022,Yes
C0042,Female,40,Sheffield,10/04/2022,No
C0043,Male,61,Manchester,24/04/2023,Yes
C0044,Female,24,Leeds,17/02/2023,Yes
C0045,Female,26,Sheffield,14/07/2022,Yes
C0046,Female,33,Manchester,13/10/2022,No
C0047,Male,21,London,18/07/2023,Yes
C0048,Male,44,Nottingham,31/08/2022,No
C0049,Female,21,Birmingham,07/08/2022,No
C0050,Female,34,Nottingham,03/01/2022,No
C0051,Female,27,Leeds,10/03/2023,No
C0052,Male,55,London,11/08/2022,No
C0053,Male,55,Nottingham,28/02/2022,Yes
C0054,Male,29,Manchester,28/02/2022,Yes
C0055,Male,43,Manchester,23/11/2023,Yes
C0056,Male,57,Manchester,16/08/2023,No
C0057,Female,34,Leeds,05/11/2023,No
C0058,Female,43,Birmingham,02/09/2022,No
C0059,Female,22,London,14/04/2023,No
C0060,Male,22,Leeds,29/09/2023,No
C0061,Female,22,Leeds,16/05/2022,No
C0062,Male,46,Liverpool,19/10/2022,Yes
C0063,Female,60,Manchester,15/11/2023,Yes
C0064,Male,24,Birmingham,28/09/2022,No
C0065,Male,63,Bristol,16/10/2022,Yes
C0066,Female,50,Nottingham,12/10/2023,No
C0067,Male,58,Sheffield,22/02/2022,No
C0068,Male,39,Birmingham,15/02/2022,No
C0069,Female,53,Sheffield,15/06/2022,Yes
C0070,Male,62,Birmingham,25/04/2022,Yes
C0071,Male,45,Birmingham,14/01/2023,Yes
C0072,Female,20,Bristol,12/11/2022,Yes
C0073,Male,60,Manchester,30/11/2023,No
C0074,Female,57,Birmingham,28/07/2023,Yes
C0075,Male,44,London,16/06/2022,Yes
C0076,Female,60,Leeds,07/12/2022,No
C0077,Male,42,London,13/06/2022,No
C0078,Male,47,Bristol,16/08/2022,No
C0079,Male,19,Leeds,22/08/2022,No
C0080,Female,22,Liverpool,03/12/2022,No
C0081,Female,61,Bristol,19/10/2023,Yes
C0082,Female,29,Liverpool,29/04/2022,Yes
C0083,Female,40,Bristol,22/04/2022,No
C0084,Male,42,Leeds,13/09/2023,No
C0085,Female,18,Leeds,15/02/2022,No
C0086,Male,60,Bristol,18/03/2023,No
C0087,Male,64,Liverpool,11/11/2023,No
C0088,Female,38,Sheffield,14/11/2023,No
C0089,Male,30,Sheffield,22/07/2023,No
C0090,Male,57,Liverpool,25/11/2023,No
C0091,Male,37,Liverpool,16/07/2023,Yes
C0092,Female,47,Nottingham,17/03/2023,No
C0093,Male,50,Nottingham,23/11/2023,Yes
C0094,Male,36,Bristol,06/11/2023,Yes
C0095,Female,32,Leeds,29/08/2022,Yes
C0096,Male,33,Nottingham,26/01/2022,Yes
C0097,Female,58,Leeds,12/04/2023,No
C0098,Female,33,Birmingham,22/05/2023,Yes
C0099,Female,32,Birmingham,20/04/2022,No
C0100,Male,25,Nottingham,21/02/2022,Yes
C0101,Female,46,Sheffield,21/04/2023,No
C0102,Female,46,Liverpool,12/06/2022,Yes
C0103,Female,51,Nottingham,15/10/2023,Yes
C0104,Female,22,Liverpool,09/10/2022,Yes
C0105,Female,38,Manchester,06/10/2022,Yes
C0106,Male,42,Birmingham,04/06/2022,Yes
C0107,Female,44,Bristol,07/03/2022,No
C0108,Male,31,Sheffield,02/03/2023,No
C0109,Male,54,Sheffield,22/08/2023,No
C0110,Female,37,Sheffield,07/01/2022,No
C0111,Male,49,Leeds,06/07/2023,No
C0112,Female,19,Sheffield,23/03/2023,No
C0113,Female,64,Birmingham,16/11/2023,No
C0114,Male,43,London,11/05/2022,Yes
C0115,Female,26,Nottingham,21/10/2023,Yes
C0116,Female,42,Bristol,21/02/2022,Yes
C0117,Female,39,Sheffield,11/04/2023,No
C0118,Female,23,Nottingham,08/03/2023,Yes
C0119,Male,40,Leeds,07/07/2023,Yes
C0120,Male,19,Leeds,30/10/2023,Yes
C0121,Male,33,Birmingham,21/01/2022,No
C0122,Male,54,Leeds,17/11/2023,No
C0123,Female,28,Manchester,20/09/2022,Yes
C0124,Male,55,London,15/11/2022,No
C0125,Female,43,Leeds,13/08/2023,Yes
C0126,Male,24,Liverpool,30/08/2023,Yes
C0127,Male,40,Sheffield,03/08/2023,No
C0128,Female,18,Sheffield,12/03/2022,No
C0129,Female,41,Nottingham,19/04/2022,Yes
C0130,Male,64,Liverpool,22/03/2023,No
C0131,Female,64,Liverpool,22/04/2023,No
C0132,Male,35,Nottingham,09/09/2022,Yes
